flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
8.0,6.0,6.0,2.0,0.0,0.453,0.077,0.022,0.077,0.089,0.078
8.0,7.0,6.0,2.0,0.0,0.466,0.077,0.022,0.079,0.089,0.08
9.0,7.0,6.0,2.0,0.0,0.462,0.076,0.021,0.078,0.089,0.077
8.0,6.0,7.0,2.0,0.0,0.463,0.076,0.022,0.078,0.089,0.078
8.0,7.0,6.0,2.0,0.0,0.459,0.075,0.023,0.076,0.089,0.077
8.0,7.0,6.0,2.0,0.0,0.463,0.077,0.021,0.078,0.089,0.077
8.0,6.0,6.0,2.0,0.0,0.463,0.085,0.022,0.111,0.133,0.13
10.0,9.0,7.0,2.0,0.0,0.444,0.302,0.024,0.302,0.307,0.298
9.0,7.0,7.0,2.0,0.0,0.451,0.315,0.023,0.316,0.325,0.317
9.0,8.0,8.0,2.0,0.0,0.459,0.326,0.023,0.322,0.329,0.32
8.0,7.0,7.0,2.0,0.0,0.457,0.328,0.022,0.328,0.341,0.325
9.0,7.0,7.0,1.0,0.0,0.446,0.329,0.022,0.331,0.345,0.333
8.0,7.0,7.0,1.0,0.0,0.458,0.332,0.022,0.335,0.348,0.334
8.0,8.0,7.0,2.0,0.0,0.462,0.339,0.022,0.338,0.351,0.338
9.0,7.0,7.0,1.0,0.0,0.46,0.339,0.022,0.337,0.351,0.339
8.0,7.0,7.0,2.0,0.0,0.459,0.343,0.022,0.345,0.356,0.344
8.0,7.0,7.0,1.0,0.0,0.467,0.346,0.021,0.348,0.36,0.346
8.0,7.0,7.0,2.0,0.0,0.464,0.347,0.021,0.347,0.359,0.349
8.0,7.0,7.0,1.0,0.0,0.469,0.35,0.023,0.35,0.361,0.348
8.0,7.0,7.0,2.0,0.0,0.464,0.349,0.022,0.349,0.361,0.347
8.0,6.0,7.0,1.0,0.0,0.462,0.347,0.021,0.351,0.365,0.35
8.0,7.0,6.0,1.0,0.0,0.464,0.357,0.022,0.355,0.369,0.357
8.0,7.0,7.0,2.0,0.0,0.472,0.36,0.021,0.361,0.374,0.359
7.0,7.0,7.0,1.0,0.0,0.469,0.359,0.022,0.36,0.371,0.357
8.0,7.0,7.0,2.0,0.0,0.419,0.234,0.026,0.232,0.241,0.233
11.0,9.0,10.0,1.0,0.0,0.417,0.229,0.025,0.226,0.238,0.23
11.0,9.0,9.0,1.0,0.0,0.412,0.226,0.024,0.228,0.238,0.229
11.0,10.0,10.0,1.0,0.0,0.413,0.229,0.026,0.228,0.237,0.229
11.0,9.0,10.0,2.0,0.0,0.413,0.228,0.026,0.227,0.238,0.228
10.0,10.0,9.0,1.0,0.0,0.413,0.227,0.025,0.227,0.237,0.23
11.0,9.0,10.0,1.0,0.0,0.422,0.229,0.026,0.227,0.238,0.23
11.0,10.0,10.0,1.0,0.0,0.418,0.228,0.027,0.228,0.239,0.229
11.0,9.0,10.0,2.0,0.0,0.413,0.228,0.025,0.227,0.236,0.228
11.0,10.0,10.0,1.0,0.0,0.41,0.229,0.027,0.227,0.236,0.229
11.0,9.0,9.0,1.0,0.0,0.413,0.227,0.026,0.226,0.236,0.229
11.0,9.0,10.0,1.0,0.0,0.418,0.231,0.026,0.227,0.238,0.229
11.0,10.0,10.0,2.0,0.0,0.416,0.23,0.026,0.228,0.238,0.23
11.0,9.0,10.0,1.0,0.0,0.412,0.229,0.025,0.228,0.239,0.23
11.0,10.0,10.0,1.0,0.0,0.422,0.23,0.026,0.227,0.237,0.229
11.0,10.0,9.0,1.0,0.0,0.414,0.228,0.025,0.225,0.235,0.228
11.0,9.0,10.0,2.0,0.0,0.41,0.227,0.026,0.225,0.237,0.228
11.0,10.0,10.0,1.0,0.0,0.418,0.227,0.025,0.21,0.22,0.209
11.0,10.0,10.0,5.0,0.0,0.404,0.196,0.026,0.193,0.204,0.191
12.0,10.0,11.0,5.0,0.0,0.4,0.193,0.025,0.193,0.204,0.193
12.0,11.0,11.0,5.0,0.0,0.401,0.196,0.027,0.194,0.205,0.192
12.0,10.0,10.0,5.0,0.0,0.396,0.19,0.027,0.193,0.203,0.194
11.0,11.0,11.0,4.0,0.0,0.4,0.196,0.026,0.192,0.206,0.193
12.0,10.0,10.0,6.0,0.0,0.4,0.192,0.027,0.192,0.204,0.191
12.0,11.0,11.0,5.0,0.0,0.405,0.196,0.026,0.192,0.204,0.192
12.0,10.0,11.0,5.0,0.0,0.399,0.191,0.026,0.191,0.204,0.192
11.0,10.0,10.0,5.0,0.0,0.397,0.188,0.026,0.191,0.202,0.189
