flow1,flow2,flow3,flow4,flow5,pressure1,pressure2,pressure3,pressure4,pressure5,pressure6
9.0,8.0,0.0,0.0,8.0,0.454,-0.03,0.016,-0.025,-0.019,-0.027
8.0,7.0,0.0,0.0,7.0,0.459,-0.031,0.016,-0.025,-0.019,-0.028
9.0,7.0,0.0,0.0,8.0,0.458,-0.031,0.015,-0.025,-0.018,-0.028
9.0,8.0,0.0,0.0,7.0,0.459,-0.03,0.015,-0.024,-0.02,-0.026
8.0,7.0,0.0,0.0,8.0,0.451,-0.03,0.016,-0.023,-0.018,-0.027
9.0,7.0,0.0,0.0,7.0,0.442,-0.028,0.016,-0.023,-0.019,-0.027
9.0,7.0,0.0,0.0,8.0,0.452,-0.029,0.016,-0.025,-0.018,-0.025
9.0,7.0,0.0,0.0,7.0,0.438,-0.028,0.015,-0.024,-0.017,-0.025
8.0,8.0,0.0,0.0,8.0,0.439,-0.029,0.016,-0.023,-0.018,-0.028
9.0,7.0,0.0,0.0,7.0,0.462,-0.03,0.016,-0.023,-0.018,-0.025
9.0,7.0,1.0,0.0,8.0,0.461,-0.03,0.016,-0.024,-0.017,-0.025
8.0,8.0,0.0,0.0,7.0,0.437,-0.03,0.015,-0.024,-0.017,-0.025
9.0,7.0,0.0,0.0,7.0,0.453,-0.029,0.015,-0.024,-0.018,-0.027
9.0,7.0,0.0,0.0,8.0,0.439,-0.028,0.017,-0.023,-0.017,-0.027
8.0,7.0,0.0,0.0,7.0,0.449,-0.028,0.015,-0.024,-0.017,-0.028
9.0,8.0,0.0,0.0,8.0,0.454,-0.029,0.017,-0.024,-0.017,-0.026
8.0,7.0,0.0,0.0,7.0,0.459,-0.028,0.017,-0.024,-0.017,-0.027
9.0,8.0,0.0,0.0,7.0,0.445,-0.028,0.016,-0.024,-0.018,-0.024
9.0,7.0,0.0,0.0,8.0,0.453,-0.029,0.016,-0.022,-0.018,-0.026
8.0,7.0,0.0,0.0,7.0,0.441,-0.029,0.017,-0.025,-0.017,-0.025
9.0,8.0,0.0,0.0,8.0,0.446,-0.028,0.016,-0.025,-0.017,-0.026
9.0,7.0,0.0,0.0,7.0,0.446,-0.029,0.017,-0.023,-0.017,-0.026
8.0,7.0,0.0,0.0,8.0,0.443,-0.027,0.017,-0.022,-0.017,-0.025
9.0,7.0,0.0,0.0,7.0,0.452,-0.028,0.017,-0.023,-0.017,-0.026
8.0,8.0,0.0,0.0,7.0,0.441,-0.027,0.016,-0.023,-0.018,-0.027
9.0,7.0,0.0,0.0,8.0,0.446,-0.027,0.016,-0.024,-0.016,-0.028
8.0,7.0,0.0,0.0,7.0,0.448,-0.028,0.017,-0.021,-0.015,-0.024
9.0,8.0,0.0,0.0,8.0,0.456,-0.027,0.017,-0.022,-0.016,-0.023
8.0,7.0,0.0,0.0,7.0,0.44,-0.027,0.017,-0.023,-0.015,-0.026
9.0,7.0,0.0,0.0,8.0,0.439,-0.029,0.016,-0.022,-0.017,-0.026
9.0,7.0,0.0,0.0,7.0,0.443,-0.028,0.017,-0.021,-0.016,-0.026
8.0,7.0,0.0,0.0,7.0,0.453,-0.027,0.016,-0.022,-0.017,-0.024
9.0,7.0,0.0,0.0,8.0,0.459,-0.028,0.017,-0.022,-0.017,-0.025
8.0,8.0,0.0,0.0,7.0,0.451,-0.027,0.017,-0.023,-0.017,-0.026
9.0,7.0,0.0,0.0,7.0,0.457,-0.027,0.018,-0.021,-0.015,-0.025
8.0,7.0,0.0,0.0,8.0,0.462,-0.028,0.017,-0.024,-0.017,-0.026
9.0,7.0,0.0,0.0,7.0,0.443,-0.028,0.016,-0.022,-0.016,-0.024
8.0,7.0,0.0,0.0,8.0,0.45,-0.028,0.017,-0.023,-0.015,-0.027
9.0,8.0,0.0,0.0,7.0,0.436,-0.028,0.018,-0.023,-0.016,-0.025
9.0,7.0,0.0,0.0,7.0,0.457,-0.028,0.017,-0.023,-0.017,-0.025
8.0,7.0,0.0,0.0,8.0,0.445,-0.026,0.018,-0.022,-0.016,-0.024
9.0,7.0,0.0,0.0,7.0,0.451,-0.027,0.016,-0.023,-0.015,-0.025
8.0,7.0,0.0,0.0,7.0,0.452,-0.029,0.017,-0.022,-0.015,-0.025
9.0,8.0,0.0,0.0,8.0,0.442,-0.027,0.018,-0.022,-0.015,-0.026
8.0,7.0,0.0,0.0,7.0,0.462,-0.026,0.019,-0.023,-0.016,-0.027
9.0,7.0,0.0,0.0,8.0,0.438,-0.026,0.018,-0.023,-0.015,-0.025
8.0,7.0,0.0,0.0,7.0,0.44,-0.027,0.017,-0.022,-0.017,-0.024
9.0,7.0,0.0,0.0,7.0,0.466,-0.028,0.017,-0.023,-0.015,-0.024
8.0,7.0,0.0,0.0,8.0,0.451,-0.026,0.017,-0.023,-0.016,-0.024
9.0,8.0,0.0,0.0,7.0,0.437,-0.026,0.017,-0.022,-0.015,-0.024
8.0,7.0,0.0,0.0,7.0,0.453,-0.027,0.017,-0.022,-0.016,-0.024
9.0,7.0,0.0,0.0,7.0,0.452,-0.028,0.017,-0.023,-0.015,-0.025
8.0,7.0,0.0,0.0,8.0,0.461,-0.027,0.017,-0.022,-0.015,-0.023
9.0,7.0,0.0,0.0,7.0,0.453,-0.026,0.017,-0.023,-0.016,-0.023
8.0,7.0,0.0,0.0,7.0,0.438,-0.027,0.017,-0.022,-0.014,-0.025
9.0,7.0,0.0,0.0,8.0,0.443,-0.027,0.017,-0.023,-0.016,-0.025
8.0,8.0,0.0,0.0,7.0,0.438,-0.026,0.017,-0.023,-0.014,-0.022
9.0,7.0,0.0,0.0,7.0,0.46,-0.027,0.018,-0.022,-0.015,-0.025
8.0,7.0,0.0,0.0,8.0,0.446,-0.027,0.018,-0.023,-0.016,-0.025
9.0,7.0,0.0,0.0,7.0,0.457,-0.027,0.017,-0.022,-0.016,-0.023
8.0,7.0,1.0,0.0,7.0,0.455,-0.027,0.018,-0.023,-0.015,-0.025
9.0,7.0,0.0,0.0,7.0,0.456,-0.026,0.018,-0.022,-0.016,-0.025
8.0,8.0,0.0,0.0,8.0,0.448,-0.026,0.018,-0.022,-0.016,-0.026
11.0,9.0,0.0,0.0,8.0,0.265,-0.012,0.023,-0.002,0.003,-0.005
17.0,16.0,1.0,0.0,15.0,0.267,-0.012,0.024,-0.005,0.005,-0.003
18.0,16.0,1.0,0.0,15.0,0.262,-0.012,0.022,-0.007,-0.001,-0.007
17.0,16.0,1.0,0.0,15.0,0.258,-0.012,0.023,-0.006,0.0,-0.007
17.0,16.0,1.0,0.0,15.0,0.254,-0.012,0.023,-0.007,-0.004,-0.009
18.0,17.0,2.0,0.0,15.0,0.261,-0.013,0.021,-0.01,-0.003,-0.011
17.0,17.0,1.0,0.0,16.0,0.259,-0.012,0.019,-0.009,-0.005,-0.011
18.0,16.0,1.0,0.0,15.0,0.254,-0.015,0.019,-0.01,-0.005,-0.011
17.0,16.0,1.0,0.0,15.0,0.254,-0.013,0.021,-0.009,-0.004,-0.011
17.0,16.0,2.0,0.0,15.0,0.25,-0.017,0.019,-0.01,-0.003,-0.01
18.0,17.0,1.0,0.0,15.0,0.254,-0.016,0.019,-0.011,-0.007,-0.012
17.0,16.0,1.0,0.0,15.0,0.263,-0.015,0.017,-0.01,-0.006,-0.011
18.0,17.0,2.0,0.0,15.0,0.246,-0.017,0.018,-0.009,-0.007,-0.011
18.0,16.0,1.0,0.0,15.0,0.252,-0.016,0.017,-0.012,-0.009,-0.014
18.0,16.0,1.0,0.0,16.0,0.251,-0.017,0.017,-0.01,-0.006,-0.011
17.0,17.0,1.0,0.0,15.0,0.254,-0.016,0.017,-0.012,-0.008,-0.014
18.0,16.0,2.0,0.0,15.0,0.253,-0.017,0.016,-0.011,-0.006,-0.009
18.0,16.0,1.0,0.0,15.0,0.25,-0.017,0.017,-0.012,-0.008,-0.013
17.0,17.0,1.0,0.0,15.0,0.251,-0.016,0.016,-0.013,-0.009,-0.013
18.0,16.0,2.0,0.0,16.0,0.25,-0.017,0.016,-0.011,-0.008,-0.012
18.0,17.0,1.0,0.0,15.0,0.251,-0.018,0.015,-0.015,-0.011,-0.014
18.0,17.0,2.0,0.0,16.0,0.25,-0.019,0.015,-0.014,-0.008,-0.016
17.0,17.0,1.0,0.0,15.0,0.251,-0.018,0.015,-0.012,-0.009,-0.013
18.0,16.0,1.0,0.0,15.0,0.242,-0.02,0.014,-0.015,-0.009,-0.015
18.0,16.0,2.0,0.0,15.0,0.247,-0.019,0.016,-0.013,-0.01,-0.014
18.0,17.0,1.0,0.0,16.0,0.242,-0.018,0.015,-0.012,-0.008,-0.011
18.0,17.0,2.0,0.0,15.0,0.242,-0.018,0.015,-0.012,-0.009,-0.015
18.0,17.0,1.0,0.0,16.0,0.242,-0.017,0.016,-0.011,-0.011,-0.013
18.0,16.0,2.0,0.0,15.0,0.241,-0.018,0.015,-0.015,-0.01,-0.014
18.0,17.0,1.0,0.0,16.0,0.246,-0.019,0.015,-0.015,-0.01,-0.015
18.0,17.0,1.0,0.0,15.0,0.24,-0.02,0.013,-0.016,-0.012,-0.015
18.0,16.0,2.0,0.0,15.0,0.235,-0.021,0.015,-0.015,-0.01,-0.014
18.0,17.0,1.0,0.0,16.0,0.242,-0.019,0.016,-0.012,-0.009,-0.016
18.0,17.0,2.0,0.0,15.0,0.242,-0.018,0.015,-0.013,-0.011,-0.017
18.0,16.0,1.0,0.0,16.0,0.243,-0.02,0.015,-0.014,-0.009,-0.016
18.0,17.0,2.0,0.0,15.0,0.241,-0.017,0.013,-0.014,-0.014,-0.017
18.0,17.0,1.0,0.0,16.0,0.241,-0.021,0.012,-0.015,-0.012,-0.016
18.0,16.0,1.0,0.0,15.0,0.236,-0.019,0.015,-0.011,-0.009,-0.015
18.0,17.0,2.0,0.0,15.0,0.239,-0.02,0.015,-0.013,-0.009,-0.015
18.0,17.0,1.0,0.0,16.0,0.241,-0.02,0.015,-0.015,-0.01,-0.018
18.0,17.0,2.0,0.0,15.0,0.235,-0.023,0.014,-0.017,-0.011,-0.016
18.0,17.0,1.0,0.0,16.0,0.242,-0.02,0.014,-0.017,-0.013,-0.019
18.0,17.0,2.0,0.0,15.0,0.241,-0.021,0.014,-0.015,-0.008,-0.012
18.0,17.0,1.0,0.0,16.0,0.244,-0.02,0.013,-0.014,-0.011,-0.015
18.0,17.0,2.0,0.0,15.0,0.244,-0.02,0.013,-0.014,-0.011,-0.014
17.0,16.0,1.0,0.0,15.0,0.237,-0.025,0.01,-0.018,-0.016,-0.019
18.0,17.0,2.0,0.0,16.0,0.24,-0.02,0.015,-0.014,-0.01,-0.016
18.0,17.0,1.0,0.0,16.0,0.241,-0.021,0.014,-0.015,-0.011,-0.017
18.0,17.0,1.0,0.0,15.0,0.247,-0.019,0.014,-0.013,-0.01,-0.015
18.0,17.0,2.0,0.0,16.0,0.243,-0.02,0.015,-0.015,-0.012,-0.017
18.0,17.0,1.0,0.0,15.0,0.236,-0.021,0.013,-0.016,-0.01,-0.017
18.0,16.0,2.0,0.0,16.0,0.239,-0.022,0.015,-0.015,-0.009,-0.014
18.0,17.0,1.0,0.0,15.0,0.24,-0.023,0.015,-0.014,-0.008,-0.013
18.0,17.0,2.0,0.0,16.0,0.239,-0.022,0.014,-0.015,-0.011,-0.014
19.0,17.0,1.0,0.0,15.0,0.241,-0.019,0.012,-0.017,-0.013,-0.017
18.0,17.0,2.0,0.0,16.0,0.233,-0.023,0.011,-0.017,-0.012,-0.018
18.0,17.0,1.0,0.0,15.0,0.238,-0.022,0.013,-0.016,-0.011,-0.015
18.0,17.0,2.0,0.0,16.0,0.239,-0.023,0.013,-0.017,-0.009,-0.015
18.0,17.0,2.0,0.0,16.0,0.241,-0.02,0.014,-0.014,-0.009,-0.017
18.0,16.0,1.0,0.0,15.0,0.243,-0.019,0.011,-0.017,-0.012,-0.015
18.0,17.0,2.0,0.0,16.0,0.242,-0.022,0.013,-0.017,-0.011,-0.015
18.0,17.0,1.0,0.0,15.0,0.239,-0.02,0.012,-0.015,-0.013,-0.015
18.0,17.0,2.0,0.0,15.0,0.24,-0.018,0.013,-0.017,-0.012,-0.018
18.0,17.0,1.0,0.0,16.0,0.242,-0.023,0.01,-0.019,-0.013,-0.018
18.0,17.0,2.0,0.0,15.0,0.237,-0.023,0.011,-0.018,-0.014,-0.018
18.0,17.0,1.0,0.0,16.0,0.238,-0.025,0.013,-0.017,-0.011,-0.016
18.0,17.0,2.0,0.0,15.0,0.233,-0.022,0.013,-0.016,-0.012,-0.016
18.0,17.0,1.0,0.0,16.0,0.242,-0.024,0.012,-0.017,-0.014,-0.018
18.0,16.0,2.0,0.0,15.0,0.244,-0.023,0.011,-0.019,-0.014,-0.016
18.0,17.0,1.0,0.0,16.0,0.245,-0.024,0.011,-0.017,-0.013,-0.016
18.0,17.0,2.0,0.0,15.0,0.245,-0.02,0.013,-0.014,-0.012,-0.018
18.0,16.0,1.0,0.0,16.0,0.245,-0.021,0.011,-0.018,-0.012,-0.017
18.0,17.0,1.0,0.0,15.0,0.247,-0.021,0.012,-0.016,-0.011,-0.017
18.0,16.0,2.0,0.0,15.0,0.244,-0.019,0.013,-0.016,-0.013,-0.017
18.0,17.0,1.0,0.0,16.0,0.244,-0.023,0.01,-0.017,-0.013,-0.017
18.0,17.0,1.0,0.0,15.0,0.242,-0.025,0.011,-0.018,-0.013,-0.018
18.0,16.0,2.0,0.0,15.0,0.242,-0.021,0.012,-0.019,-0.015,-0.019
18.0,17.0,1.0,0.0,16.0,0.242,-0.022,0.012,-0.015,-0.011,-0.017
18.0,17.0,1.0,0.0,16.0,0.237,-0.025,0.012,-0.015,-0.01,-0.014
18.0,17.0,2.0,0.0,15.0,0.245,-0.024,0.012,-0.018,-0.012,-0.018
18.0,17.0,1.0,0.0,16.0,0.245,-0.021,0.012,-0.016,-0.012,-0.017
