id,timestamp,sensors.flow0.value,sensors.flow1.value,sensors.flow2.value,sensors.flow3.value,sensors.flow4.value,sensors.pressure0.value,sensors.pressure1.value,sensors.pressure2.value,sensors.pressure3.value,sensors.pressure4.value,sensors.pressure5.value,valves.bigvalve0.value,valves.bigvalve1.value,valves.valve0.value,valves.valve1.value,valves.valve2.value,valves.valve3.value,valves.valve4.value,valves.change_time
5294,1765193527.3261032,3.0860688575032724,2.4002718220775074,0.1371583683038932,0.0,2.6060067479845612,1.9040000000000001,0.916,1.044,0.932,0.9,0.9,1,1,1,0,0,1,0,26.63080644607544
5295,1765193528.4235675,3.0860688575032724,2.4002718220775074,0.1371583683038932,0.0,2.6060067479845612,1.9120000000000001,0.912,1.036,0.932,0.9,0.904,1,1,1,0,0,1,0,27.74303936958313
5296,1765193529.1897914,2.992074614571904,2.365822106363804,0.20874879328650425,0.0,2.574570295682014,1.8920000000000001,0.916,1.044,0.932,0.9,0.904,1,1,1,0,0,1,0,28.842244863510132
5297,1765193530.318983,2.992074614571904,2.365822106363804,0.20874879328650425,0.0,2.574570295682014,1.9120000000000001,0.912,1.044,0.9400000000000001,0.9,0.908,1,1,1,0,0,1,0,29.617109060287476
5298,1765193531.2949402,2.992074614571904,2.365822106363804,0.20874879328650425,0.0,2.574570295682014,1.8960000000000001,0.912,1.04,0.932,0.904,0.9,1,1,1,0,0,1,0,30.73407745361328
5299,1765193532.2242382,3.0468511511775365,2.393967195759377,0.14508917390814646,0.0,2.5390624405450337,1.92,0.92,1.048,0.936,0.904,0.904,1,1,1,0,0,1,0,31.714406490325928
5300,1765193533.394481,3.0468511511775365,2.393967195759377,0.14508917390814646,0.0,2.5390624405450337,1.8880000000000001,0.92,1.044,0.9400000000000001,0.9,0.908,1,1,1,0,0,1,0,32.64164400100708
5301,1765193534.441592,3.0738495774322274,2.379746410270318,0.1983120658349095,0.0,2.57805627076357,1.8760000000000001,0.908,1.04,0.9400000000000001,0.904,0.904,1,1,1,0,0,1,0,33.8118691444397
5302,1765193535.2269292,3.0738495774322274,2.379746410270318,0.1983120658349095,0.0,2.57805627076357,1.9120000000000001,0.92,1.048,0.936,0.904,0.904,1,1,1,0,0,1,0,34.859232902526855
5303,1765193536.341987,3.0738495774322274,2.379746410270318,0.1983120658349095,0.0,2.57805627076357,1.8880000000000001,0.916,1.044,0.9400000000000001,0.908,0.904,1,1,1,0,0,1,0,35.64570331573486
5304,1765193537.3587804,3.0413618982286232,2.4048008944355637,0.21218831421490267,0.0,2.5462597705788323,1.8880000000000001,0.916,1.044,0.9400000000000001,0.9,0.9,1,1,1,0,0,1,0,36.75728154182434
5305,1765193538.1890485,3.0413618982286232,2.4048008944355637,0.21218831421490267,0.0,2.5462597705788323,1.9040000000000001,0.92,1.044,0.9440000000000001,0.9,0.908,1,1,1,0,0,1,0,37.77985239028931
