sensor.flow0,sensor.flow1,sensor.flow2,sensor.flow3,sensor.flow4,sensor.pressure0,sensor.pressure1,sensor.pressure2,sensor.pressure3,sensor.pressure4,sensor.pressure5,valve.bigvalve0,valve.bigvalve1,valve.valve0,valve.valve1,valve.valve2,valve.valve3,valve.valve4,last_valve_change
2.493950427756803,1.6137354744603651,1.7604385516325982,0.8802186847019091,0.0,2.6950800000000004,1.8958800000000002,1.0716,1.9136400000000002,1.8648,1.8102999999999998,0,1,0,0,0,0,0,34.87839460372925
2.493950427756803,1.6137354744603651,1.7604385516325982,0.8802186847019091,0.0,2.7039600000000004,1.8958800000000002,1.0716,1.9136400000000002,1.86924,1.7973999999999999,0,1,0,0,0,0,0,35.94273591041565
2.493950427756803,1.6137354744603651,1.7604385516325982,0.8802186847019091,0.0,2.74392,1.9136400000000002,1.07912,1.9225200000000002,1.8648,1.8016999999999999,0,1,0,0,0,0,0,36.811551332473755
2.4276622348423493,1.6920057301275175,1.7655716425799084,0.8092208130749885,0.0,2.7039600000000004,1.887,1.0716,1.9092000000000002,1.86036,1.7973999999999999,0,1,0,0,0,0,0,37.702778339385986
2.4276622348423493,1.6920057301275175,1.7655716425799084,0.8092208130749885,0.0,2.6950800000000004,1.8958800000000002,1.07536,1.9225200000000002,1.86924,1.7973999999999999,0,1,0,0,0,0,0,38.72898626327515
2.4276622348423493,1.6920057301275175,1.7655716425799084,0.8092208130749885,0.0,2.7039600000000004,1.89144,1.0716,1.9180800000000002,1.86036,1.8016999999999999,0,1,0,0,0,0,0,39.476828813552856
2.504513974362733,1.645824681872601,1.7889397251022887,0.85869120868754,0.0,2.6950800000000004,1.887,1.0640800000000001,1.9180800000000002,1.8648,1.8059999999999998,0,1,0,0,0,0,0,40.61253499984741
2.504513974362733,1.645824681872601,1.7889397251022887,0.85869120868754,0.0,2.6950800000000004,1.8958800000000002,1.07912,1.9180800000000002,1.8648,1.8016999999999999,0,1,0,0,0,0,0,41.42707920074463
2.504513974362733,1.645824681872601,1.7889397251022887,0.85869120868754,0.0,2.7128400000000004,1.9003200000000002,1.0678400000000001,1.9225200000000002,1.86924,1.8059999999999998,0,1,0,0,0,0,0,42.384567737579346
2.5013585316503284,1.618526517522965,1.765665440500756,0.882832868907937,0.0,2.7039600000000004,1.9003200000000002,1.0640800000000001,1.9180800000000002,1.87368,1.8102999999999998,0,1,0,0,0,0,0,43.448254108428955
2.5013585316503284,1.618526517522965,1.765665440500756,0.882832868907937,0.0,2.69064,1.9003200000000002,1.0678400000000001,1.9358400000000002,1.86924,1.8102999999999998,0,1,0,0,0,0,0,44.187220096588135
2.5013585316503284,1.618526517522965,1.765665440500756,0.882832868907937,0.0,2.72616,1.887,1.0716,1.9180800000000002,1.87368,1.8059999999999998,0,1,0,0,0,0,0,45.23666453361511
2.459546605365878,1.6396915831967982,1.7887536915426148,0.8198451622441524,0.0,2.6950800000000004,1.8958800000000002,1.07536,1.8958800000000002,1.85148,1.7888000000000002,0,1,0,0,0,0,0,46.24503254890442
